General,,,,,,,,,,,,,,,Engine,,,,,,Pump,Boiler,,,,Rail,,,,Accessory
Project No,AKA,Date,Title,Notes,Original Link,Video,Sheets,Comments,Issues,Keywords,Lubrication,Height,Length,Width,Type,Orientation,Cylinders,Reverser,Bore,Stroke,,Type,Orrientation,Volume,Volume mm^3,Type,Style,Fuel,Gauge,Type
09E-73-00,, Aug 2025,"2 CYLINDER NON REVERSABLE INVERTED ""V"" STEAM ENGINE (BORE=22mm STROKE=32mm)","THE ENGINE SHOWN ON THESE DRAWINGS ARE LOOSLY BASED ON A UNDIMENSIONED DRAWING AND PICTURES WHICH I FOUND ON THE INTERNET. THE DRAWING WAS DRAWN BY SIMON ROWLEY, AND DATED APRIL-2021. NO SCALE INDICATED.",www.modelesavapeur.com/mapage/09e-73-00.pdf,,4,,,,Oil points,250.0,291.4,114.0,Valve gear,V,2,No,22,32,,,,,,,,,,
09E-74-00,, Aug 2025,"2 CYLINDER NON REVERSABLE ""V"" TYPE STEAM ENGINE (BORE=22mm STROKE=32mm)","THE ENGINE SHOWN ON THESE DRAWINGS ARE LOOSLY BASED ON A UNDIMENSIONED DRAWING AND PICTURES WHICH I FOUND ON THE INTERNET. THE DRAWING WAS DRAWN BY SIMON ROWLEY, AND DATED APRIL-2021. NO SCALE INDICATED.",www.modelesavapeur.com/mapage/09e-74-00.pdf,,3,,,,Oil points,183.0,267.6,118.0,Valve gear,V,2,No,22,32,,,,,,,,,,
09A-37-00,, Dec 2024,AN OSCILLATING STEAM ENGINE FOR BEGINNERS (BORE=13mm STROKE=20mm),"ORIGINAL DRAWINGS WERE GIVING TO ME. THE ORIGINALS WERE PUBLISHED IN ""AMATEUR CRAFTMAN'S CYCLOPEDIA MODEL MAKING"" MAGAZINE PAGE 106. ARTICLE TITLE : ""MODEL STEAM ENGINE SIMPLIFIED FOR BEGINNERS"". AUTHOR(S), DATE, DRAFTER UNKOWN.",www.modelesavapeur.com/telecharements10/09a-37.pdf,,2,,,,1 oil point,94.6,59.5,50.0,Oscillating,Vertical,1,Flip Inlet,13,20,,,,,,,,,,
09A-38-00,, Dec 2024,AN OSCILLATING STEAM ENGINE FOR BEGINNERS. (BORE=13mm STROKE=14mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE AUTHOR, DATE, DRAFTER OF THE ORIGINAL DESIGN(S) AND THE ACCOMPANIED ARTICLE ARE UNKNOWN.",www.modelesavapeur.com/telecharements10/09a-38.pdf,,2,,,,Oil points,69.0,103.0,96.0,Oscillating,Horizontal,1,Flip Inlet,13,14,,,,,,,,,,
09A-39-00,, Dec 2024,A 1 CYLINDER VERTICAL OSCILLATING STEAM ENGINE (BORE=10mm STROKE=18mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DESIGN AND DRAWING WERE MADE BY ERIK-JAN STROETINGA, EINDHOVEN, THE NETHERLANDS AND DATED SEPTEMBER 1998. (E.J. STROETINGA@FONTSY.NL). MY DRAWINGS HAS SLIGHT ALTERATIONS INCORPORATED.",www.modelesavapeur.com/telecharements10/09a-39.pdf,,2,,,,None,125.0,100.0,95.0,Oscillating,Vertical,1,Flip Inlet,10,18,,,,,,,,,,
09A-40-00,, Dec 2024,A 1 CYLINDER OSCILLATING STEAM ENGINE VERTICAL INVERTED (B=10mm S=18mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL 2 DRAWINGS WERE DRAWN BY N.C.G., DATED 12-20-2007, REV:3, 17-09-2007, REV:2. DRAWING TITLE: ""OSCILLATING ENGINE"". THE ENGINE SHOWN ON THIS DRAWING INCORPORATE SOME MINOR ALTERATIONS.",www.modelesavapeur.com/telecharements10/09a-40.pdf,,1,,,,Oil points,92.0,60.0,40.0,Oscillating,Vertical,1,Flip Inlet,10,18,,,,,,,,,,
09A-41-00,, Dec 2024,1 CYLINDER OSCILLATING STEAM ENGINE BORE=13mm STROKE=22mm,"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. NO DESIGNER, DRAFTER AND DATE WERE STATED ON THE DRAWINGS. THE TITLE WAS ""OSCILLATING ENGINE"" (LITTLEMACHINESHOP.COM). THE ENGINE SHOWN ON THESE DRAWINGS HAS SOME MINOR ALTERATIONS INCORPORATED",www.modelesavapeur.com/telecharements10/09a-41.pdf,,2,,,,Oil points,111.0,80.0,60.0,Oscillating,Vertical,1,Flip Inlet,13,22,,,,,,,,,,
09A-42-00,, Dec 2024,A  SUPER SIMPLE OSCILLATING STEAM ENGINE (BORE=10mm STROKE=20mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DESIGN AND DRAWINGS WERE BY JOHN WHEELER AND PUBLISHED IN ""MODEL MECHANICS"" MAGAZINE OF FEBRUARY 1979 UNDER THE TITLE ""A SIMPLE OSCILLATOR"".",www.modelesavapeur.com/telecharements10/09a-42.pdf,,2,,,,None,100.0,150.0,68.0,Oscillating,Horizontal,1,Flip Inlet,10,20,,,,,,,,,,
09A-43-00,, Jan 2025,"1 CYLINDER VERTICAL MINIATURE STEAM ENGINE CALLED ""BIJOU"" (B=0.125"" S=0.124"")","THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DRAWING WERE PUBLISHED IN A UNKOWN MAGAZINE, PAGES 42, 43, 44. NO AUTHOR, DESIGNER OR DATE STATED. PLEASE NOTE THE ""IMPERIAL"" DIMENSIONS ONTHE DRAWINGS.",www.modelesavapeur.com/telecharements10/09a-43.pdf,,1,Imperial version of 09a-43-01,"Weird garbage on the preview isometric views, incorrectly says metric under GENERAL NOTES",Imperial,None,21.7,19.8,16.0,Oscillating,Vertical,1,Flip Inlet,3.2,3.1,,,,,,,,,,
09A-43-01,, Jan 2025,"1 CYLINDER VERTICAL STEAM ENGINE CALLED ""BIJOUX3.5"" (B=11mm S=11mm)","THE ENGINE SHOWN ON THESE DRAWINGS IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DRAWINGS WERE PUBLISHED IN A UNKOWN MAGAZINE, PAGES 42, 43, 44. NO AUTHOR, DESIGNER OR DATE STATED.",www.modelesavapeur.com/telecharements10/09a-43-01.pdf,,1,,,,None,77.0,60.0,56.0,Oscillating,Vertical,1,Flip Inlet,11,11,,,,,,,,,,
09A-45-00,, Jan 2025,1 CYLINDER HORIZONTAL OSCILLATING STEAM ENGINE WITH MAGNETIC CYLINDER PIVOT,"THE ORIGINAL DRAWING WAS GIVEN TO ME. NO AUTHOR, DESINGER, DATES, TITLE OR INFORMATION OF THE ORIGIN OF THE DRAWING WERE STATED. THE ENGINE SHOWN ON THESE DRAWINGS IS 1.5 TIMES THE ORIGINAL",www.modelesavapeur.com/telecharements10/09a-45.pdf,,2,,,,Oil points,99.5,150.0,95.0,Oscillating,Horizontal,1,Flip Inlet,15,22,,,,,,,,,,
09A-46-00,, Jan 2025,1 CYLINDER VERTICAL OSCILLATING STEAM ENGINE WITH REVERSER (B=24mm S=20mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DRAWINGS AND ARTICLE WERE PUBLISHED IN ""POPULAR SCIENCE"" MAGAZINE OF APRIL 1941 UNDER THE HEADING: ""OSCILLATING STEAM ENGINE WITH REVERSE GEAR BY C.W.WOODSON"". ENGINE SHOWN ON THESE DRAWING IS 1.5 TIMES THE ORIGINAL",www.modelesavapeur.com/telecharements10/09a-46.pdf,,2,,,,1 oil point,177.8,157.5,126.7,Oscillating,Vertical,1,Yes,24,20,,,,,,,,,,
09A-47-00,, Jan 2025,A SUPER SIMPLE VERTICAL OSCILLATING STEAM ENGINE (BORE=10mm STROKE=26mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DRAWINGS WERE DRAWN BY N.C.G. DATED 06/12/2008. DRAWING TITLE: ""OLIVER'S ENGINE"". ENGINE SHOWN ON THESE DRAWINGS IS 2 TIMES THE ORIGINAL.",www.modelesavapeur.com/telecharements10/09a-47.pdf,,1,,,,None,147.0,119.0,64.0,Oscillating,Vertical,1,Flip Inlet,10,26,,,,,,,,,,
09A-48-00,, Jan 2025,1 CYLINDER VERTICAL OSCILLATING STEAM ENGINE (BORE=12mm STROKE=16mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. NO AUTHOR, DESIGNER OR DRAFTER AND DATES WERE SHOWN ON THE DRAWINGS. THE DRAWING TITLE WAS: ""SIMPLE OSCILLATING STEAM ENGINE"". SOME PARTS HAVE BEEN SLIGHTLY MODIFIED",www.modelesavapeur.com/telecharements10/09a-48.pdf,,1,,,,Oil points,82.3,68.0,50.0,Oscillating,Vertical,1,Flip Inlet,12,16,,,,,,,,,,
09A-49-00,, Jan 2025,1 CYLINDER VERTICAL OSCILLATING STEAM ENGINE. (BORE=8mm STROKE=20mm),"THE ORIGINAL DRAWINGS ERE GIVEN TO ME. THE DRAWINGS AND ARTCLES ARE BY ROB VAN DORT, AND WERE PUBLISHED IN AN UNKNOWN MAGAZINE (PAGES 44 TO 50) UNDER THE TITLE ""SIMPLEX & DUPLEX"". THE REAL ORIGINAL DESIGN AND DRAWINGS WERE BY P.H.VAN POPTA AND WERE PUBLISHED IN THE MAGAZINE OF ""NEDERLANDSE VERENIGING VAN MODEL-BOUWERS""",www.modelesavapeur.com/telecharements10/09a-49.pdf,,2,1 cylinder variant of 09A-49-01,,Catwalk,None,136.0,120.0,100.0,Oscillating,Vertical,1,Flip Inlet,8,20,,,,,,,,,,
09A-49-01,, Jan 2025,2 CYLINDER VERTICAL OSCILLATING STEAM ENGINE WITH REVERSER. (B=8mm S=20mm),"THE ORIGINAL DRAWINGS ERE GIVEN TO ME. THE DRAWINGS AND ARTCLES ARE BY ROB VAN DORT, AND WERE PUBLISHED IN AN UNKNOWN MAGAZINE (PAGES 44 TO 50) UNDER THE TITLE ""SIMPLEX & DUPLEX"". THE REAL ORIGINAL DESIGN AND DRAWINGS WERE BY P.H.VAN POPTA AND WERE PUBLISHED IN THE MAGAZINE OF ""NEDERLANDSE VERENIGING VAN MODEL-BOUWERS""",www.modelesavapeur.com/telecharements10/09a-49-01.pdf,,3,2 cylinder variant of 09A-49-00,,Catwalk,None,136.0,126.8,100.0,Oscillating,Vertical,2,Yes,8,20,,,,,,,,,,
09A-50-00,, Jan 2025,2 CYLINDER V-TYPE OSCILLATING STEAM ENGINE. (BORE=16mm STROKE=20mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DRAWINGS AND ARTICLE WERE PUBLISHED UNDER THE TITLE ""A TWIN-CYLINDER OSCILLATING ENGINE"" BY J.V.ROMIG IN AN UN-SPECIFIED MAGAZINE PAGES 139, 140, 141.",www.modelesavapeur.com/telecharements10/09a-50.pdf,,2,Could possibly be fitted with a second inlet manifold to allow running in reverse,,,Oil points,101.0,120.6,89.8,Oscillating,V,2,No,16,20,,,,,,,,,,
09A-51-00,, Jan 2025,1 CYLINDER VERTICAL SINGLE ACTING OSCILLATING STEAM ENGINE (B=8mm S=9mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. NO AUTHOR, DRAFTER, TITLE, DATE WERE PRINTED ON THE DRAWINGS. (THIS WAS WRITTEN ON THE FILE SEND TO ME ""ME magazine#C493)",www.modelesavapeur.com/telecharements10/09a-51.pdf,,1,,,,None,76.0,53.3,53.3,Oscillating,Vertical,1,Flip Inlet,8,9,,,,,,,,,,
09A-51-01,, Jan 2025,1 CYLINDER VERTICAL DOUBLE ACTING OSCILLATING STEAM ENGINE (B=8mm S=10mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. NO AUTHOR, DRAFTER, TITLE, DATE WERE PRINTED ON THE DRAWINGS (THIS WAS WRITTEN ON THE FILE SEND TO ME ""ME magazine#C493)""",www.modelesavapeur.com/telecharements10/09a-51-01.pdf,,1,,,,None,79.0,61.5,50.0,Oscillating,Vertical,1,Flip Inlet,8,10,,,,,,,,,,
09A-53-00,, Jan 2025,1 CYLINDER VERTICAL SINGLE ACTING OSCILLATING STEAM ENGINE (B=6mm S=16mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. HE ORIGINAL DRAWINGS WERE DESIGNED AND DRAWN BY PAUL R. JORGENSON, DATED OCTOBER 2009, UNDER THE TITLE ""SIMPLE JINGLE BELL ENGINE"". SOME SMALL ALTERATIONS HAVE BEEN INCORPORATED IN THESE DRAWINGS.",www.modelesavapeur.com/telecharements10/09a-53.pdf,,2,,,,None,100.5,75.0,60.0,Oscillating,Vertical,1,Flip Inlet,6,16,,,,,,,,,,
09A-54-00,, Jan 2025,2 CYLINDER V-TYPE OSCILLATING STEAM ENGINE SINGLE ACTING. (B=14mm S=24mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME.THE ORIGINAL DRAWINGS AND ARTICLE WAS PUBLISHED THE ""MODEL MECHANICS"" MAGAZINE OF NOVEMBER 1979, UNDER THE TITLE ""VIPER"" BY RICHARD HALFPENNY. ENGINE SHOWN ON THESE DRAWINGS IS 1.5 TIMES THE ORIGINAL",www.modelesavapeur.com/telecharements10/09a-54.pdf,,2,Could possibly be fitted with a second inlet manifold to allow running in reverse,,,Oil points,128.8,130.0,113.0,Oscillating,V,2,No,14,24,,,,,,,,,,
09A-55-00,, Jan 2025,1 CYLINDER VERTICAL OSCILLATING STEAM ENGINE. (BORE=15mm STROKE=20mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DRAWINGS WERE DESISNED AND DRAWN BY THEGSEY, DATED 01/01/2012, DRAWING TITLE WOBBLER DRAWING, DRAWING NUMBER WBLR-001 AND -002. ENGINE SHOWN ON THESE DRAWIGS IS HALF SIZE",www.modelesavapeur.com/telecharements10/09a-55.pdf,,2,,,,Oil points,105.0,95.0,50.0,Oscillating,Vertical,1,Flip Inlet,15,20,,,,,,,,,,
09A-56-00,, Jan 2025,4 CYLINDER V-TYPE OSCILLATING STEAM ENGINE WITH REVERSER (B=15mm S=22mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DESIGN AND DRAWINGS WERE BY KEN IRWIN. THE TITLE OF HIS PROJECT WAS ""V4 OSCILLATING ENGINE, LOOK MA! NO SPRINGS"". THE ENGINE SHOWN ON THESE DRAWINGS IS 1.5 TIMES LARGER THAN THE ORIGINAL",www.modelesavapeur.com/telecharements10/09a-56.pdf,,3,,,,Oil points,216.0,193.0,150.0,Oscillating,V,4,Yes,15,22,,,,,,,,,,
09A-57-00,, Jan 2025,1 CYLINDER VERTICAL OSCILLATING STEAM ENGINE (BORE=6mm STROKE=19mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGNAL DESIGN AND ARTCLE WAS BY ANDREW SPRAGUE AND THE DRAWINGS BY G.R.BROAD. Jr MAGAZINE NOT SPECIFIED, ARTICLE TITLE ""HAND-TOOL STEAM ENGINE""",www.modelesavapeur.com/telecharements10/09a-57.pdf,,1,,,,None,89.5,54.8,50.0,Oscillating,Vertical,1,Flip Inlet,6,19,,,,,,,,,,
09A-58-00,, Jan 2025,1 CYLINDER HORIZONTAL OSCILLATING STEAM ENGINE (BORE=10mm STROKE=19mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. NO DESIGNER, DRAFTER, DATES, TITLE WERE STATED ON THE ORIGINAL DRAWINGS.",www.modelesavapeur.com/telecharements10/09a-58.pdf,,1,,,,Oil points,90.0,130.0,83.0,Oscillating,Horizontal,1,Flip Inlet,10,19,,,,,,,,,,
09A-59-00,, Feb 2025,1 CYLINDER VERTICAL OSCILLATING STEAM ENGINE. (BORE=10mm STROKE=14mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL ENGINE WAS DESIGNED AND DRAWN BY E. DANIEL UNDER THE TITLE: ""SP1-WOBBLER"". NO DATE STATED. THE ENGINE SHOWN ON THESE DRAWINGS IS 2 TIMES THE ORIGINAL.",www.modelesavapeur.com/telecharements10/09a-59.pdf,,2,Inlet and outlet come through the base,,,Oil points,114.5,101.0,100.0,Oscillating,Vertical,1,Flip Inlet,10,14,,,,,,,,,,
09A-60-00,, Feb 2025,1 CYL. VERT. DOUBLE ACTING OSCILLATING STEAM ENGINE (BORE=35mm STROKE=48mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DESIGN AND DRAWINGS AND ARTICLE WERE PUBLISHED IN AN UNSPECIFIED MAGAZINE PAGES 114 TO 119 UNDER THE TITLE ""WOODY"" BY JOHN W. REICHART. THE ENGINE SHOWN HAS SOME ALTERATIONS INCORPORATED.",www.modelesavapeur.com/telecharements10/09a-60.pdf,,2,,,,Oil points,239.0,174.0,150.0,Oscillating,Vertical,1,Flip Inlet,35,48,,,,,,,,,,
09A-61-00,, Mar 2025,2 CYLINDER VERTICAL OSCILLATING STEAM ENGINE REVERSABLE (B=22mm S=35mm),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE DRAWINGS WERE IN FRENCH, THE DRAWING TITLE WAS ""CHALOUPE A VAPEUR"". DWG NUMBER GPVA-01, DATED 17-08-17, DESIGNER R. ROCHART. ENGINE SHOWN ON THESE DRAWINGS IS 2.5 TIMES THE ORIGINAL",www.modelesavapeur.com/telecharements10/09a-61.pdf,,2,Uses ball bearings for the shaft,,,None,262.0,134.5,100.0,Oscillating,Vertical,2,Yes,22,35,,,,,,,,,,
09C-49-00,, Jul 2025,A 2 CYLINDER VERTICAL WALL MOUNTED STEAM ENGINE (B=28mm S=38mm) ,THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL ENGINE WAS DESIGEND/BUILT BY J.P.DUVAL (LUSSAN) DRAWING NUMBER(S) MVh TC 14/18 SHT 00-04 DATED 08/2006 THE ENGINE ON THESE DRAWINGS IS TWO TIMES THE ORIGINAL SIZE,www.modelesavapeur.com/telechargemennts/a-2-cylinder-vertical-wall-mounted-steam-engine.pdf,,3,,,,Oil points,287.0,193.0,98.0,Valve gear,Vertical,2,No,28,38,,,,,,,,,,
09A-27-00,, May 2020,A COMPACT-STURDY 4 CYLINDER V-SHAPED OSCILLATING STEAM ENGINE (B=20 S=40),"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGNAL DESIGN/BUILD WAS BY J.P.DUVAL OF ""MINIATURES MECANIQUES MODELS"". DRAWING No: MV o 10x20 01 OO, DATED OCTOBER 2004. THE ENGINE SHOWN ON THESE DRAWINGS IS 2x THE ORIGINAL",www.modelesavapeur.com/telechargemennts/a-compact-sturdy-4-cylinder-v-shaped-oscillating-steam-engine.pdf,,3,,,,Oil points,168.4,200.5,182.0,Oscillating,V,4,Yes,20,40,,,,,,,,,,
09C-48-00,, Jul 2020,A SINGLE CYLINDER VERTICAL STEAM ENGINE BY J.P.DUVAL (B=25mm S=32mm),THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL ENGINE WAS DESIGEND/BUILT BY J.P.DUVAL (LUSSAN) DRAWING NUMBER(S) MV 25/30 ENS/DET DATED BETWEEN 10-1995 AND 03-1998,www.modelesavapeur.com/telechargemennts/a-simple-cylinder-vertical-steam-engine-by-jp-duval.pdf,,3,,,,Oil points,223.5,103.4,100.0,Valve gear,Vertical,1,No,25,32,,,,,,,,,,
09C-42-00,, Nov 2019,A SIMPLE VERTICAL STEAM ENGINE WITH SLIDE CRANK (SCOTCH YOKE TYPE),THIS DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DESIGN AND DRAWINGS WERE BY RAYMOND YATES. MAGAZINE AND DATES UNKOWN (FIG 93& FIG 95.,www.modelesavapeur.com/telechargemennts/a-simple-steam-engine-with-slide-crank.pdf,,3,,,,Oil points,169.0,108.0,90.0,Valve gear,Vertical,1,No,24,24,,,,,,,,,,
09C-43-00,, Nov 2019,A SIMPLE VERTICAL STEAM ENGINE BORE=24mm STROKE=24mm,"THIS DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DESIGN AND DRAWINGS WERE BY RAYMOND YATES. MAGAZINE AND DATES UNKOWN (FIG. 103, FIG. 104A & FIG. 104)",www.modelesavapeur.com/telechargemennts/a-simple-vertical-steam-engine.pdf,,3,,,,Oil points,176.0,110.0,80.0,Valve gear,Vertical,1,No,24,24,,,,,,,,,,
